MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
FEBRERO,1,0,0.02,0.006,0.026,0.56,65,40,19.02,3.88,96.45,60.45,619.55
FEBRERO,1,1,0.023,0.005,0.023,0.48,69,34,17.16,4.48,97.4,73.4,619.56
FEBRERO,1,2,0.022,0.005,0.022,0.47,57,33,16.22,4.11,81.83,78.4,619.88
FEBRERO,1,3,0.023,0.005,0.021,0.47,47,33,15.26,2.59,80.61,82,619.73
FEBRERO,1,4,0.025,0.005,0.02,0.45,47,36,14.5,3.29,77.8,84.66,619.52
FEBRERO,1,5,0.024,0.005,0.02,0.45,44,32,13.99,2.68,76.01,86.19,619.68
FEBRERO,1,6,0.019,0.005,0.022,0.49,43,38,13.36,2.09,78.03,87.92,619.77
FEBRERO,1,7,0.009,0.005,0.028,0.59,41,35,12.84,2.11,101.42,89.08,620.14
FEBRERO,1,8,0.003,0.005,0.034,0.85,51,33,12.49,1.96,105.19,89.09,620.52
FEBRERO,1,9,0.009,0.005,0.031,0.82,61,38,13.89,2.47,95.94,84.27,620.98
FEBRERO,1,10,0.02,0.005,0.026,0.67,79,45,16.56,3.3,97.59,76.61,621.27
FEBRERO,1,11,0.029,0.005,0.023,0.6,71,37,18.67,2.62,93.58,70.63,621.35
FEBRERO,1,12,0.04,0.005,0.021,0.58,67,35,21.01,2.09,102.7,62.7,620.9
FEBRERO,1,13,0.051,0.005,0.022,0.62,67,34,23.2,1.86,33.74,54.99,620.47
FEBRERO,1,14,0.063,0.005,0.021,0.56,60,33,24.34,1.9,38.14,49.84,619.94
FEBRERO,1,15,0.066,0.005,0.021,0.58,51,33,25.25,2.26,220.82,47.13,619.1
FEBRERO,1,16,0.066,0.005,0.019,0.57,57,35,25.94,2.38,275.31,45.52,618.43
FEBRERO,1,17,0.061,0.005,0.02,0.66,68,34,26.67,2.02,307.32,42.71,618.46
FEBRERO,1,18,0.052,0.005,0.021,0.65,65,32,25.95,3.11,292.09,40.67,618.4
FEBRERO,1,19,0.035,0.005,0.023,0.83,64,33,24.17,2.64,252.9,42.94,618.25
FEBRERO,1,20,0.024,0.005,0.027,1.01,101,31,22.18,2.42,217.67,49.17,618.69
FEBRERO,1,21,0.029,0.005,0.021,0.56,79,34,21.33,3.7,199.68,47.33,619.43
FEBRERO,1,22,0.028,0.005,0.019,0.54,60,23,20.54,2.92,195.9,49.18,619.79
FEBRERO,1,23,0.017,0.005,0.026,0.69,38,26,19.52,1.36,1.39,52.33,620.09
FEBRERO,2,0,0.013,0.005,0.028,0.66,43,26,18.33,1.59,315.45,57.87,620.04
FEBRERO,2,1,0.009,0.005,0.026,0.61,51,32,16.99,1.16,104.85,62.89,620.37
FEBRERO,2,2,0.001,0.005,0.031,0.74,56,30,15.72,0.58,128.73,65.7,620.23
FEBRERO,2,3,0.001,0.005,0.03,0.69,65,34,15.24,0.84,87.87,67.28,620.07
FEBRERO,2,4,0.001,0.005,0.03,0.61,61,40,14.28,0.76,162.26,69.52,620
FEBRERO,2,5,0.003,0.005,0.028,0.55,57,31,13.27,0.46,145.95,71.51,619.89
FEBRERO,2,6,0.002,0.005,0.028,0.66,39,27,12.69,0.76,151.18,72.96,620.11
FEBRERO,2,7,0,0.005,0.031,0.84,47,28,11.88,1.21,112.7,74.52,620.12
FEBRERO,2,8,0.001,0.005,0.031,1.17,304,38,11.89,1.19,119.02,74.72,620.65
FEBRERO,2,9,0.005,0.005,0.028,0.99,82,36,13.49,1.96,139.51,69.76,621.1
FEBRERO,2,10,0.009,0.006,0.033,1.07,67,32,17.16,1.24,244.65,62.23,621.29
FEBRERO,2,11,0.029,0.007,0.027,0.79,111,44,19.19,2.31,295.13,60.21,621.49
FEBRERO,2,12,0.045,0.011,0.023,0.66,91,40,20.78,2.37,311.48,57.09,621.56
FEBRERO,2,13,0.051,0.008,0.022,0.61,71,39,22.87,2,316.72,51.05,621.09
FEBRERO,2,14,0.045,0.006,0.021,0.55,71,36,24.43,3.6,285.72,39.12,620.41
FEBRERO,2,15,0.047,0.005,0.02,0.61,61,23,25.29,4.19,303.69,38.75,619.79
FEBRERO,2,16,0.047,0.005,0.017,0.58,62,24,25.85,4.64,293.02,34.99,619.58
FEBRERO,2,17,0.048,0.005,0.017,0.58,73,25,26.12,4.02,297.38,30.13,619.53
FEBRERO,2,18,0.048,0.005,0.018,0.62,65,24,25.83,3.13,296.24,27.22,619.59
FEBRERO,2,19,0.03,0.006,0.028,1,52,22,24.33,2.26,309.28,28.49,619.4
FEBRERO,2,20,0.002,0.006,0.047,2.06,53,24,22.14,1.39,287.96,33.94,619.35
FEBRERO,2,21,0.003,0.006,0.045,1.5,110,41,19.94,1.27,265.63,38.66,619.56
FEBRERO,2,22,0.002,0.006,0.043,1.93,134,41,18.45,0.77,216.38,42.62,619.78
FEBRERO,2,23,0.001,0.006,0.045,2.42,139,44,17.93,1.56,32.92,44.64,620.37
FEBRERO,3,0,0.001,0.006,0.042,0.98,156,61,16.58,2.09,109.64,45.76,621.05
